"Name" "price" "lon" "lat"
"120" "389 14th StFront Park, Buffalo, NY" "$16,999" -78.8905489 42.91087
"121" "87 Fernhill AveGrider, Buffalo, NY" "$27,303" -78.825795 42.927755
"122" "25 Grace StBlack Rock, Buffalo, NY" "$39,900" -78.904921 42.941822
"123" "329 Orchard DrBuffalo, NY" "$54,096" -78.8610489 42.9889173
"124" "17 Tudor PlDelaware-West Ferry, Buffalo, NY" "$925,000" NA NA
"125" "1141 Delaware Ave #5SDelaware-West Ferry, Buffalo, NY" "$474,900" -78.8687103 42.9149393
"126" "83 Emslie StSouth Ellicott, Buffalo, NY" "$56,000" -78.848668 42.8785719
"127" "164 Montrose AveUniversity, Buffalo, NY" "$129,900" -78.829649 42.957907
"128" "242-244 Virginia StLakeview, Buffalo, NY" "$175,000" NA NA
"129" "45 Durham AveGrider, Buffalo, NY" "$41,500" -78.8276805 42.9235664
"130" "310 Norwood AveFront Park, Buffalo, NY" "$400,000" NA NA
"131" "531 Linwood AveDelaware-West Ferry, Buffalo, NY" "$567,000" NA NA
"132" "67 Harvard PlDelaware-West Ferry, Buffalo, NY" "$180,000" NA NA
"133" "1834 William Diverted NKaisertown, Buffalo, NY" "$100,000" NA NA
"134" "121 Auburn AveGrant Ferry, Buffalo, NY" "$59,000" -78.896238 42.9182947
"135" "35 Peach StWillert Park, Buffalo, NY" "$64,900" -78.8579125 42.8962589
"136" "5 Wyandotte AveRiverside Park, Buffalo, NY" "$69,900" -78.901361 42.959105
"137" "274 Potomac AveForest, Buffalo, NY" "$94,900" NA NA
"138" "71 Rogers AveSchiller Park, Buffalo, NY" "$54,900" -78.8037543 42.9186019
"139" "600 Main St #702Central Business District, Buffalo, NY" "$342,700" -78.87282 42.890319
"140" "742 Tonawanda StRiverside Park, Buffalo, NY" "$99,900" -78.9037589 42.9489708
"141" "99 Mayer AveRiverside Park, Buffalo, NY" "$59,900" -78.899191 42.949658
"142" "71 Haven StSchiller Park, Buffalo, NY" "$86,638" NA NA
"143" "19 Linwood TerDelaware-West Ferry, Buffalo, NY" "$174,900" NA NA
"144" "166 Wakefield AveLeroy, Buffalo, NY" "$42,199" -78.8329733 42.9346197
"145" "20 Harding RdSouth Park, Buffalo, NY" "$63,675" -78.822974 42.840703
"146" "337 Faraday RdBuffalo, NY" "$54,731" -78.8402647 42.9722096
"147" "644 Harrison AveBuffalo, NY" "$40,586" -78.829322 42.9754987
"148" "37 Glor StBlack Rock, Buffalo, NY" "$44,900" NA NA
"149" "52 Herkimer StGrant Ferry, Buffalo, NY" "$25,134" NA NA
"150" "450 14th StFront Park, Buffalo, NY" "$104,900" NA NA
"151" "323 Herman StMedical Park, Buffalo, NY" "$56,900" NA NA
"152" "28 Grace StBlack Rock, Buffalo, NY" "$39,900" -78.905064 42.9422985
"153" "150 Brunswick BlvdHamlin Park, Buffalo, NY" "$18,591" NA NA
"154" "214 Landon StKingsley, Buffalo, NY" "$32,000" -78.8459635 42.9102729
"155" "33 Clay StBlack Rock, Buffalo, NY" "$45,890" -78.8931237 42.9387461
"156" "8 Mayfair LnBryant, Buffalo, NY" "$364,900" -78.875243 42.902637
"157" "47 Urban StMLK Park, Buffalo, NY" "$21,327" NA NA
"158" "249 Holly StKaisertown, Buffalo, NY" "$63,032" NA NA
"159" "33 Blaine AveHamlin Park, Buffalo, NY" "$224,900" NA NA
"160" "57 S Crossman StSchiller Park, Buffalo, NY" "$6,900" NA NA
