ID,name,price,lon,lat
72,"1628 Hawley Ave Eastwood, Syracuse, NY",45000 ,-76.1202981 ,43.0554944 
73,"309 Horan Rd Syracuse, NY",107500 ,-76.2347403 ,43.0659069 
74,"252 Clover Ridge Dr Eastwood, Syracuse, NY",44900 ,-76.0933126 ,43.0654113 
75,"170 Clyde Ave #72 Southside, Syracuse, NY",40500 ,-81.3241970 ,28.7337678 
76,"200 Beley Ave Syracuse, NY",95000 ,-76.1416980 ,43.1001620 
77,"340 S Midler Ave Eastwood, Syracuse, NY",44900 ,-76.1048429 ,43.0629053 
78,"624 Plymouth Dr Eastwood, Syracuse, NY",59900 ,-76.0985418 ,43.0605760 
79,"302 Dewittshire Rd S Syracuse, NY",249900 ,-76.0684210 ,43.0308560 
80,"405 S Terry Rd Syracuse, NY",124900 ,-76.2198502 ,43.0402827 
81,"5170 Onondaga Rd Syracuse, NY",54900 ,-76.2219500 ,43.0229020 
82,"225 E Glen Ave Valley, Syracuse, NY",16900 ,-76.1411208 ,43.0056747 
83,"110 Charmouth Dr Southside, Syracuse, NY",74900 ,-76.1631464 ,43.0214772 
84,"108 Blossom Rd #10 Eastside, Syracuse, NY",149900 ,-76.1051382 ,43.0438945 
85,"1111 Park St Northside, Syracuse, NY",59900 ,-76.1500202 ,43.0650614 
86,"3401 Bellevue Ave Syracuse, NY",64999 ,-76.2119777 ,43.0254526 
87,"224 S Collingwood Ave Eastwood, Syracuse, NY",79900 ,-76.1075608 ,43.0655052 
88,"125 Marsden Rd Lyncourt, Syracuse, NY",47700 ,-76.1330900 ,43.0867460 
89,"309 Willis Ave Westside, Syracuse, NY",57500 ,-76.1898584 ,43.0485914 
90,"271 Mountainview Ave Eastside, Syracuse, NY",76500 ,-76.1010137 ,43.0508436 
91,"221 Feldspar Dr Syracuse, NY",182900 ,-76.2538976 ,43.0325808 
92,"330 Dewitt St Northside, Syracuse, NY",259900 ,-76.1336225 ,43.0641728 
93,"237 Kenwood Ave Northside, Syracuse, NY",36500 ,-76.1516451 ,43.0795673 
94,"256 Girard Ave Valley, Syracuse, NY",19900 ,-76.1522602 ,43.0086865 
95,"473 Stafford Ave Eastwood, Syracuse, NY",88000 ,-76.1117031 ,43.0594489 
96,"405 S Edwards Ave Eastwood, Syracuse, NY",54900 ,-76.1054719 ,43.0616043 
97,"117 W Bissell St #19 Southside, Syracuse, NY",22900 ,-76.1597336 ,43.0259966 
98,"103 S Avery Ave Westside, Syracuse, NY",129900 ,-76.1890842 ,43.0448840 
99,"114 Arch St Eastwood, Syracuse, NY",99900 ,-76.0997868 ,43.0616132 
100,"215 Bury Dr Syracuse, NY",128000 ,-76.2495861 ,43.0951796 
101,"412 E Division St Northside, Syracuse, NY",49900 ,-76.1511417 ,43.0611624 
102,"242 Bruce St Eastside, Syracuse, NY",85000 ,-76.1118888 ,43.0493333 
103,"706 Barnes Ave Valley, Syracuse, NY",54900 ,-76.1595750 ,43.0045033 
104,"313 Myron Rd Syracuse, NY",94900 ,-76.2346840 ,43.0513460 
105,"1239 Park St Northside, Syracuse, NY",59900 ,-76.1539935 ,43.0666849 
106,"120 Crabapple Ln Syracuse, NY",135900 ,-76.2281351 ,43.0410365 
107,"108 Signal Rdg Syracuse, NY",89500 ,-76.2413886 ,43.0575003 
108,"134 Wolcott Ave Southside, Syracuse, NY",93900 ,-76.1832117 ,43.0314909 
