"Name" "price" "lon" "lat"
"77" "237 Kenmore AveKenilworth, Buffalo, NY" "$164,900" -78.826449 42.958424
"78" "832 Abbott RdSouth Abbott, Buffalo, NY" "$50,000" -78.808238 42.841589
"79" "584 W Utica StFront Park, Buffalo, NY" "$99,900" -78.8884417 42.9111595
"80" "6 Winslow AveKingsley, Buffalo, NY" "$59,900" NA NA
"81" "37 Wright AveKenfield, Buffalo, NY" "$34,000" -78.7995678 42.9238029
"82" "211-213 Grape StMedical Park, Buffalo, NY" "$74,000" NA NA
"83" "23 Dogwood DrBuffalo, NY" "$40,000" -78.7397892 42.8842344
"84" "94 Thompson StBlack Rock, Buffalo, NY" "$35,900" NA NA
"85" "129 Clarence AveLaSalle, Buffalo, NY" "$85,748" -78.8223951 42.9379609
"86" "333 Dartmouth AveKensington, Buffalo, NY" "$63,331" -78.8122794 42.9432409
"87" "42 Gesl StLeroy, Buffalo, NY" "$55,000" -78.8403146 42.9299628
"88" "16 Burlington AveLaSalle, Buffalo, NY" "$80,773" -78.8177225 42.9324742
"89" "353 Hampshire StGrant Ferry, Buffalo, NY" "$72,900" NA NA
"90" "234 Keystone StSchiller Park, Buffalo, NY" "$19,000" -78.8107524 42.9081975
