ID,name,price,lon,lat
82,"19 The Arena St Binghamton, NY",89900 ,-75.8887605 ,42.0948630 
83,"1370 Hawleyton Rd Binghamton, NY",178500 ,-75.9263320 ,42.0405159 
84,"71 Mill St Binghamton, NY",112500 ,-75.9058310 ,42.0871080 
85,"9 Peer St Binghamton, NY",139900 ,-75.8720784 ,42.1781485 
86,"10 Edwards St Binghamton, NY",115000 ,-75.9255475 ,42.1017231 
87,"639 Chenango St Binghamton, NY",97000 ,-75.8980380 ,42.1263050 
88,"105 Schubert St Binghamton, NY",108905 ,-75.9403382 ,42.1047904 
89,"41 Rogers Mountain Way Binghamton, NY",179500 ,-75.8831740 ,42.1397690 
90,"871 Park Ave Binghamton, NY",125000 ,-75.9111320 ,42.0310310 
91,"93 Theresa Blvd Binghamton, NY",120000 ,-75.8835972 ,42.1710657 
92,"260 Main St Binghamton, NY",109000 ,-75.9379798 ,42.1077486 
93,"12 Field St Binghamton, NY",74900 ,-75.9295786 ,42.1100998 
94,"1123 County Airport Rd Binghamton, NY",139900 ,-75.9427065 ,42.1464075 
95,"21 Baltimore Ave Binghamton, NY",109900 ,-75.8820456 ,42.1011715 
96,"10 Lillian Dr Binghamton, NY",124500 ,-75.8771410 ,42.0866810 
97,"126 Crary Ave Binghamton, NY",141500 ,-75.9437593 ,42.1046228 
98,"378 Bevier St Binghamton, NY",99900 ,-75.8696150 ,42.1227460 
99,"206 Pennsylvania Ave Binghamton, NY",159000 ,-75.9179540 ,42.0757580 
100,"190 Hawley St Binghamton, NY",60000 ,-75.9019751 ,42.0992908 
101,"101 Trafford Rd Binghamton, NY",75000 ,-75.8886314 ,42.1693040 
102,"28 Seymour St Binghamton, NY",70000 ,-75.9305578 ,42.1130367 
103,"1849 Airport Rd Binghamton, NY",250000 ,-75.9637860 ,42.1742610 
104,"27 Charlotte St Binghamton, NY",157667 ,-75.9321415 ,42.1053884 
105,"3780 Mill St Binghamton, NY",425000 ,-75.8962910 ,42.0829250 
106,"27 Winding Way Binghamton, NY",69000 ,-75.9164668 ,42.1067317 
107,"300 Robinson St Binghamton, NY",59900 ,-75.8766168 ,42.1083274 
108,"32 Decatur St Binghamton, NY",80000 ,-75.8829801 ,42.0953432 
109,"10 Vermont Ave Binghamton, NY",155000 ,-75.9287965 ,42.0893839 
110,"1 Harding Ln Binghamton, NY",129547 ,-75.8591520 ,42.1659350 
111,"202 Conklin Ave Binghamton, NY",110500 ,-75.8962537 ,42.0944391 
112,"46 Forest Hills Blvd Binghamton, NY",124900 ,-75.9099067 ,42.1401171 
113,"5 Bellevue Hts Binghamton, NY",79900 ,-75.9385371 ,42.1045406 
114,"196 Leroy St Binghamton, NY",185000 ,-75.9401501 ,42.0963319 
115,"6 Beman St Binghamton, NY",69900 ,-75.9009790 ,42.1112820 
116,"52 Gaylord St Binghamton, NY",67000 ,-75.8820004 ,42.1085394 
117,"107 Felters Rd Binghamton, NY",119900 ,-75.8716745 ,42.0936222 
118,"17 Pearl Ave Binghamton, NY",95000 ,-75.9080883 ,42.0867799 
119,"57 Saratoga Ave Binghamton, NY",31521 ,-75.8802011 ,42.0991433 
120,"47 Highland Ave Binghamton, NY",110000 ,-75.9397672 ,42.0999907 
121,"55 Highland Ave Binghamton, NY",119900 ,-75.9407081 ,42.0999552 
122,"100 Woodside Ave Binghamton, NY",4000 ,-75.8611420 ,42.0957030 
123,"122 Conklin Ave Binghamton, NY",65000 ,-75.9032762 ,42.0930515 
124,"55 Broad Ave Binghamton, NY",63750 ,-75.8892197 ,42.1090661 
125,"16 Zane Rd Binghamton, NY",109900 ,-75.9178509 ,42.0886928 
126,"9 Minden Ave Binghamton, NY",124900 ,-75.9411708 ,42.1041550 
127,"8 Lincoln St Binghamton, NY",119900 ,-75.8959810 ,42.1396270 
128,"34 Mozart St Binghamton, NY",135000 ,-75.9366907 ,42.1010970 
129,"23 Gregory Ln Binghamton, NY",47500 ,-75.9237860 ,42.1065660 
130,"4163 Brady Hill Rd Binghamton, NY",165000 ,-75.8714200 ,42.0127700 
131,"89 Crestmont Rd Binghamton, NY",130000 ,-75.9421456 ,42.1033996 
132,"145 S Washington St Binghamton, NY",82000 ,-75.9121919 ,42.0819173 
133,"774 River Rd Binghamton, NY",175000 ,-75.8610140 ,42.1663360 
134,"1 Arthur St Binghamton, NY",106250 ,-75.9255333 ,42.0979187 
135,"302 Park Ave Binghamton, NY",139900 ,-75.9115510 ,42.0676772 
136,"543 Park Ave Binghamton, NY",89900 ,-75.9157611 ,42.0529881 
137,"13 Rutherford St #5 Binghamton, NY",60000 ,-75.9018306 ,42.0991478 
138,"1867 Pierce Creek Rd Binghamton, NY",174000 ,-75.8778740 ,42.0671050 
139,"125 Wisconsin Dr Binghamton, NY",269900 ,-75.8527080 ,42.1630730 
140,"999 Vestal Ave Binghamton, NY",425000 ,-75.9316667 ,42.0862383 
141,"2145 E Hamton Rd Binghamton, NY",309900 ,-75.9319068 ,42.0782645 
142,"400 Port Rd Binghamton, NY",255000 ,-75.8688790 ,42.2153909 
143,"34 Lanesboro St Binghamton, NY",169900 ,-75.9068935 ,42.0793238 
144,"35 Lathrop Ave Binghamton, NY",184900 ,-75.9305251 ,42.0945139 
145,"58 Rush Ave Binghamton, NY",60900 ,-75.9183461 ,42.0852883 
146,"181 Crary Ave Binghamton, NY",214722 ,-75.9443628 ,42.1083014 
147,"8 Vine St #5 Binghamton, NY",55250 ,-71.0184931 ,42.4638926 
149,"70 Lincoln Ave Binghamton, NY",146900 ,-75.9340469 ,42.0963629 
150,"19 Seymour St Binghamton, NY",110500 ,-75.9310624 ,42.1127567 
151,"71 Grand Blvd Binghamton, NY",159900 ,-75.9421776 ,42.1075508 
152,"5 Gaines St Binghamton, NY",55900 ,-75.9157500 ,42.1077350 
153,"2431 Route 12 #12 Binghamton, NY",399000 ,-75.8499577 ,42.2273994 
154,"751 Dimmock Hill Rd Binghamton, NY",299000 ,-75.9495200 ,42.1997760 
155,"63 Matthews St Binghamton, NY",159900 ,-75.9428786 ,42.1007968 
156,"146 Ahern Rd Binghamton, NY",132900 ,-75.8550640 ,42.0849320 
157,"29 Charmel Dr Binghamton, NY",229900 ,-75.8616770 ,42.1715950 
158,"1 Cedar St Binghamton, NY",165000 ,-75.9286175 ,42.0993150 
159,"130 Flagg Rd Binghamton, NY",12000 ,-75.7735660 ,42.1387710 
160,"1008 Vestal Ave Binghamton, NY",169900 ,-75.9287013 ,42.0850843 
161,"24 Edwards St Binghamton, NY",198900 ,-75.9251478 ,42.1029275 
162,"22 Edwards St Binghamton, NY",198900 ,-75.9252015 ,42.1028167 
163,"265 Main St Binghamton, NY",179900 ,-75.9389615 ,42.1076096 
164,"5 Holland St Binghamton, NY",54900 ,-75.9331706 ,42.1091878 
165,"304 Lower Stella Ireland Rd Binghamton, NY",78000 ,-75.9442330 ,42.1358120 
166,"31 Andrews Ave Binghamton, NY",69900 ,-75.8857985 ,42.1103885 
167,"39 Travis Ave Binghamton, NY",57000 ,-75.8933252 ,42.1216792 
169,"25 Forest Hills Blvd Binghamton, NY",129000 ,-75.9074502 ,42.1401852 
170,"3239 Dogwood Dr Binghamton, NY",279900 ,-75.9313466 ,42.0750415 
171,"6 Westland Ct Binghamton, NY",189900 ,-75.9382113 ,42.0961123 
172,"20 Bennett Ave Binghamton, NY",168000 ,-75.9288109 ,42.0941443 
173,"80 Carmichael Rd Binghamton, NY",32900 ,-75.8873222 ,42.1666645 
174,"345 Conklin Ave Binghamton, NY",89900 ,-75.8851481 ,42.0983221 
175,"1/4 Chadwick Rd Binghamton, NY",144900 ,-75.9245754 ,42.0847014 
176,"2063 Partridge Ln Binghamton, NY",238500 ,-75.9316401 ,42.0744435 
177,"708 W Chenango Rd Binghamton, NY",210000 ,-75.9590710 ,42.2016860 
178,"44 Milford St Binghamton, NY",5990 ,-75.8773650 ,42.1077170 
179,"82 Pine St Binghamton, NY",69900 ,-75.9010309 ,42.1021990 
180,"1705 Old State Rd Binghamton, NY",69900 ,-75.7496840 ,42.1461600 
181,"13 Mill St Binghamton, NY",114750 ,-75.9063817 ,42.0917494 
182,"9 Clark Ave Binghamton, NY",118000 ,-75.8715561 ,42.1713274 
184,"14 Larchmont Rd Binghamton, NY",188500 ,-75.9438288 ,42.0880723 
185,"63 Adams St Binghamton, NY",106000 ,-75.9443558 ,42.1189204 
186,"18 Abbott St Binghamton, NY",65000 ,-75.8902788 ,42.1130996 
187,"11 Mill St Binghamton, NY",148750 ,-75.9063757 ,42.0919508 
188,"6 Peer St Binghamton, NY",105000 ,-75.8724537 ,42.1777783 
189,"184 W End Ave Binghamton, NY",110000 ,-75.9462900 ,42.1085513 
190,"16 Abbott St Binghamton, NY",59000 ,-75.8904438 ,42.1129542 
191,"20 Lourdes Rd Binghamton, NY",107183 ,-75.9337912 ,42.0907248 
192,"28 N Louisa St Binghamton, NY",214000 ,-75.8891920 ,42.1296000 
193,"1645 State Route 12 #12 Binghamton, NY",160000 ,-75.8823380 ,42.1894891 
194,"13 Midway Dr Binghamton, NY",113378 ,-75.8500954 ,42.1007454 
195,"352 Conklin Ave Binghamton, NY",120170 ,-75.8836083 ,42.0983782 
196,"1 Jutland Rd Binghamton, NY",114000 ,-75.9374962 ,42.0871423 
197,"25 Charlotte St Binghamton, NY",222467 ,-75.9319606 ,42.1053117 
